system_equipment,equipment_description,equipment_code,equipment_level,parent_code,parent_level,type_travail,action_entity,date_declaration,date_fin,date_creation,cout_total,source
B7214T0010,SOUFFLEUSE SBO 20 SIDEL,B7214T0010-RS-PS-05,4,B7214T0010-RS-PS,3.0,CORR,LLK,2023-01-12,2023-04-08,2023-01-12,0.0,2023_CORRECTIF
B7272T8000,FARDELEUSE TSM 4 SDI,B7272T8000,1,,,CORR,ELKS_UAP1,2023-01-12,2023-06-01,2023-01-20,539.4501817,2023_CORRECTIF
B3669T0022,COMPRESSEUR 7 BAR N°1,B3669T0022,1,,,CORR,ELKS_DM_UT,2023-01-13,2023-06-01,2023-01-13,112.302443325,2023_CORRECTIF
B7216T0013,REMPLISSEUSE Combi SF SELECT BV 140/15C SIDEL FILLING/BOUCHEUSE TOURELLE  T15 / 540 ZALKIN,B7216T0013-BOUCHEUSE,2,B7216T0013,1.0,CORR,LLK,2023-01-13,2023-04-08,2023-01-15,1368.0,2023_CORRECTIF
B7284T0029,PALETTISEUR P432-SCARA (P432-20) CERMEX,B7284T0029-MAGPAL,2,B7284T0029,1.0,CORR,LLK,2023-01-13,2023-04-08,2023-01-15,26914.569265205962,2023_CORRECTIF
B7272T0017,FARDELEUSE L3,B7272T0017-TRFILM-IF,3,B7272T0017-TRFILM,2.0,CORR,LLK,2023-01-14,2023-04-08,2023-01-14,617.75,2023_CORRECTIF
B6244T8001,BOULE DE CUISSON 1,B6244T8001,1,,,CORR,ELKS_UAP1,2023-01-15,2023-06-01,2023-01-15,2766.2856168780913,2023_CORRECTIF
B7214T0013,SOUFFLEUSE,B7214T0013-S006,2,B7214T0013,1.0,CORR,ELKS_UAP2,2023-01-15,2023-11-12,2023-01-25,355.0973333333333,2023_CORRECTIF
B7216T0013,REMPLISSEUSE Combi SF SELECT BV 140/15C SIDEL FILLING/BOUCHEUSE TOURELLE  T15 / 540 ZALKIN,B7216T0013,1,,,CORR,LLK,2023-01-15,2023-04-08,2023-01-16,0.0,2023_CORRECTIF
B7220T8001,MONOBLOC,B7220T8001-J60,2,B7220T8001,1.0,CORR,ELKS_UAP1,2023-01-15,2023-06-01,2023-01-15,1404.7083333333333,2023_CORRECTIF
B7220T8001,MONOBLOC,B7220T8001-J50,2,B7220T8001,1.0,CORR,ELKS_UAP1,2023-01-15,,2023-01-15,0.0,2023_CORRECTIF
B7247T8002,REMPLISSEUSE ASEPTIQUE,B7247T8002,1,,,CORR,ELKS_UAP1,2023-01-15,2023-06-01,2023-01-29,484.2133791,2023_CORRECTIF
B7272T0015,FARDELEUSE TSM 4 SDI CERMEX-OC,B7272T0015-ENTPRO,2,B7272T0015,1.0,CORR,LLK,2023-01-15,2023-04-08,2023-01-16,12921.676333333333,2023_CORRECTIF
B9305T0001,BATIMENT,B9305T0001,1,,,CORR,LLK,2023-01-15,2023-04-08,2023-01-15,1600.5,2023_CORRECTIF
B6225T0001-S003,CUVES TAMPON,B6225T0001-S306,2,B6225T0001-S003,1.0,CORR,ELKS_UAP2,2023-01-16,2023-06-01,2023-01-16,161202.86368708,2023_CORRECTIF
B7210T8004,LAVEUSE BOUTEILLES(SDA),B7210T8004,1,,,CORR,ELKS_UAP1,2023-01-16,2023-06-01,2023-01-16,844.04127,2023_CORRECTIF
