EREQ_CODE,EREQ_DESCRIPTION,EREQ_LEVEL,EREQ_PARENT_EQUIPMENT,EREQ_SYSTEM_EQUIPMENT,EREQ_CREATION_DATE,EREQ_EQUIPMENT_STATUS,EREQ_CATEGORY,EREQ_ENTITY,EREQ_ZONE,EREQ_COSTCENTRE
B3623T0043,GROUPE ELECTROPOMPE CENTRIFUGE LS3 P635,1,,B3623T0043,2012-08-01,NORMAL,B3623,BS1,BS1-CRST6,SUCRE-D-RAFS
B4313R1050-A007,MOTEUR ELECTRIQUE,2,B3623T0043,B3623T0043,2012-08-01,NORMAL,B3503,BS1,BS1-CRST6,SUCRE-D-RAFS
B6566T0001,CUITE R1 A612,1,,B6566T0001,2012-08-01,NORMAL,B6566,BS1,BS1-CRST6,SUCRE-D-RAFS
B6566R0001-A001,CUVE,2,B6566T0001,B6566T0001,2012-08-01,NORMAL,B7101,BS1,BS1-CRST6,SUCRE-D-RAFS
B3529R0107-01,ECHANGEUR A PLAQUES-A20E12',2,B3529T0054,B3529T0054,2009-02-04,NORMAL,B3529,BRH,BRH-A20,HUILE-D-RAFH
B6346R9999-01,INSTRUMENTATION EXTERNE A20R1,2,B6346T0001,B6346T0001,2009-02-04,NORMAL,B4727,BRH,BRH-A20,HUILE-D-RAFH
V6-616A3,ELECTROVANNE DE VAPEUR DE SECHAGE,3,B6522R9999-23,B6522T0023,2009-06-23,NORMAL,B4727,BRH,BRH-S600,HUILE-D-RAFH
B6346R0002-02,AGITATEUR B20R1M1,2,B6346T0003,B6346T0003,2009-02-04,NORMAL,B6301,BRH,BRH-B20,HUILE-D-RAFH
B3604R0150-03,POMPE A ENGRENAGE,3,B3623R1250-03,B6346T0003,2009-02-04,NORMAL,B3604,BRH,BRH-B20,HUILE-D-RAFH
B6330T0003,REACTEUR DE CRSTALLISATION-  B20R4,1,,B6330T0003,2009-02-04,NORMAL,B6330,BRH,BRH-B20,HUILE-D-RAFH
B7103R9999-66,INSTRUMENTATION DE 21T2,2,B7103T0066,B7103T0066,2009-06-23,NORMAL,B4710,BRH,BRH-S21,HUILE-D-RAFH
B7716R0005-104,CONVOYEUR D'ENTREE,3,B7716R0005-103,B7716T0005,2009-02-04,,B7761,BMA,BMA-A15,CGS-D-MARG
B7288R0001-105,DATEURS DE LA LIGNE 5,2,B7288T0001,B7288T0001,2009-02-04,,B7254,BMA,BMA-A15,CGS-D-MARG
B3604R0170,POMPE A LOBES-FD140-766 L3,3,B3623R1350-100,B7228T0044,2009-02-04,,B3603,BMA,BMA-A13,CGS-D-MARG
