WOWO_SYSTEM_EQUIPMENT,WOWO_EQUIPMENT_DESCRIPTION,WOWO_DECLARATION_DATE,WOWO_END_DATE,WOWO_CREATION_DATE,WOWO_JOB_TYPE,WOWO_EQUIPMENT_LEVEL,WOWO_EQUIPMENT,maintenance_parent_code,maintenance_parent_level,WOWO_JOB_CLASS,WOWO_TOTAL_COST,source,label_quality,WOWO_ACTION_ENTITY
B7214T0010,SOUFFLEUSE SBO 20 SIDEL,2024-04-29,,2024-04-29,PREV,,,,,,3200.68,2024_PREVENTIF,MEDIUM_INFERRED,LLK
B7214T0010,SOUFFLEUSE SBO 20 SIDEL,2024-04-29,,2024-04-29,PREV,,,,,,12739.35060137433,2024_PREVENTIF,MEDIUM_INFERRED,LLK
B7214T0010,SOUFFLEUSE SBO 20 SIDEL,2024-04-29,,2024-04-29,CORR,,,,,,210.255,2024_CORRECTIF,MEDIUM_INFERRED,LLK
B7214T0013,SOUFFLEUSE,2024-04-29,,2024-04-29,CORR,,,,,,1549.5992864439538,2024_CORRECTIF,MEDIUM_INFERRED,ELKS_UAP2
B7214T0013,SOUFFLEUSE,2024-04-29,,2024-04-29,PREV,,,,,,0.0,2024_PREVENTIF,MEDIUM_INFERRED,ELKS_UAP2
B7214T0013,SOUFFLEUSE,2024-04-29,,2024-04-29,PREV,,,,,,38.103333333333325,2024_PREVENTIF,MEDIUM_INFERRED,ELKS_UAP2
B7214T8001,SOUFFLEUSE SBO 20 5767,2024-04-29,,2024-04-29,PREV,,,,,,38.103333333333325,2024_PREVENTIF,MEDIUM_INFERRED,ELKS_UAP1
B7214T8001,SOUFFLEUSE SBO 20 5767,2024-04-29,,2024-04-29,PREV,,,,,,45.724,2024_PREVENTIF,MEDIUM_INFERRED,ELKS_UAP1
B7216T0003,REMPLISSEUSE HEMA MRH24/24 E8 BE 7453,2024-04-29,,2024-04-29,PREV,,,,,,212.3925,2024_PREVENTIF,MEDIUM_INFERRED,BCH
B7216T0013,REMPLISSEUSE Combi SF SELECT BV 140/15C SIDEL FILLING/BOUCHEUSE TOURELLE  T15 / 540 ZALKIN,2024-04-29,,2024-04-29,PREV,,,,,,1073.3333333333333,2024_PREVENTIF,MEDIUM_INFERRED,LLK
B7216T8002,REMPLISSEUSE SF SELECT 140/15C,2024-04-29,,2024-04-29,PREV,,,,,,146.746502815,2024_PREVENTIF,MEDIUM_INFERRED,ELKS_UAP1
